Order_ID,Order_Date,Order_Time,Day_of_Week,Week_Number,Month,Month_Num,Quarter,Year,Customer_ID,Product_ID,Product_Name,Category,Sub_Category,Brand,Quantity,Unit_Price_INR,Gross_Amount_INR,Discount_Pct,Discount_Amount_INR,Coupon_Code,Net_Amount_INR,GST_Pct,GST_Amount_INR,Final_Amount_INR,Payment_Method,Order_Status,Order_Channel,Shipping_Days,Delivery_Date,Is_Repeat_Customer
SN2300001,2023-01-01,00:28,Sunday,52,January,1,Q1,2023,CUST10154,PRD1038,Puma Softride Enzo NXT Sneaker,Fashion,Footwear,Puma,1,4499,4499,0,0,,4499,5,214.24,4499,Cash on Delivery,Delivered,Website,4,2023-01-05,Yes
SN2300002,2023-01-01,20:25,Sunday,52,January,1,Q1,2023,CUST10662,PRD1009,Lenovo IdeaPad Slim 3 15,Electronics,Laptops,Lenovo,2,49999,99998,30,29999.4,DIWALI30,69998.6,12,7499.85,69998.6,Debit Card,Delivered,Website,9,2023-01-10,No
SN2300003,2023-01-01,02:19,Sunday,52,January,1,Q1,2023,CUST10572,PRD1064,Plum Green Tea Pore Cleansing Face Wash,Beauty,Skincare,Plum,4,499,1996,15,299.4,,1696.6,28,371.13,1696.6,UPI,Delivered,Mobile App,1,2023-01-02,No
SN2300004,2023-01-01,12:52,Sunday,52,January,1,Q1,2023,CUST10479,PRD1021,boAt Wave Flex Connect,Electronics,Smartwatches,boAt,1,1999,1999,20,399.8,FLASH40,1599.2,5,76.15,1599.2,Debit Card,Pending,Mobile App,0,,Yes
SN2300005,2023-01-01,09:57,Sunday,52,January,1,Q1,2023,CUST10381,PRD1054,Wonderchef Ebony Non-Stick Tawa 30cm,Home & Kitchen,Cookware,Wonderchef,1,1499,1499,0,0,,1499,12,160.61,1499,UPI,Delivered,Mobile App,5,2023-01-06,Yes
SN2300006,2023-01-01,21:52,Sunday,52,January,1,Q1,2023,CUST10295,PRD1047,Prestige Iris 750W Mixer Grinder,Home & Kitchen,Kitchen Appliances,Prestige,1,3999,3999,10,399.9,,3599.1,18,549.02,3599.1,UPI,Delivered,Social Commerce,2,2023-01-03,Yes
SN2300007,2023-01-01,02:04,Sunday,52,January,1,Q1,2023,CUST10221,PRD1067,Indulekha Bringha Hair Oil 100ml,Beauty,Haircare,Indulekha,3,599,1797,15,269.55,,1527.45,5,72.74,1527.45,Debit Card,Returned,Social Commerce,1,2023-01-02,No
SN2300008,2023-01-01,11:23,Sunday,52,January,1,Q1,2023,CUST10195,PRD1004,Redmi Note 13 Pro 5G,Electronics,Smartphones,Redmi,2,26999,53998,10,5399.8,,48598.2,18,7413.28,48598.2,Debit Card,Delivered,Mobile App,4,2023-01-05,Yes
SN2300009,2023-01-01,06:58,Sunday,52,January,1,Q1,2023,CUST10017,PRD1040,Bata Men's Formal Derby Shoes,Fashion,Footwear,Bata,1,2799,2799,0,0,,2799,12,299.89,2799,Credit Card,Delivered,Website,4,2023-01-05,Yes
SN2300010,2023-01-01,08:53,Sunday,52,January,1,Q1,2023,CUST10326,PRD1062,Dot & Key Watermelon Sleeping Mask 85g,Beauty,Skincare,Dot & Key,3,899,2697,0,0,,2697,12,288.96,2697,Debit Card,Delivered,Website,2,2023-01-03,No
SN2300011,2023-01-01,03:18,Sunday,52,January,1,Q1,2023,CUST10797,PRD1071,SUGAR Matte Attack Transferproof Lipstick,Beauty,Makeup,SUGAR,1,899,899,30,269.7,DIWALI30,629.3,28,137.66,629.3,UPI,Returned,Mobile App,2,2023-01-03,No
SN2300012,2023-01-01,08:52,Sunday,52,January,1,Q1,2023,CUST10603,PRD1055,Spaces 300TC Cotton King Bedsheet,Home & Kitchen,Bedding,Spaces,1,2499,2499,15,374.85,,2124.15,28,464.66,2124.15,Cash on Delivery,Delivered,Website,3,2023-01-04,Yes
SN2300013,2023-01-01,02:29,Sunday,52,January,1,Q1,2023,CUST10676,PRD1005,Vivo V29 Pro 5G,Electronics,Smartphones,Vivo,2,36999,73998,0,0,,73998,12,7928.36,73998,Debit Card,Cancelled,Mobile App,0,,Yes
