Return_ID,Order_ID,Customer_ID,Product_ID,Product_Name,Category,Return_Date,Return_Reason,Return_Method,Refund_Amount_INR,Refund_Method,Refund_Status,Resolution_Days,Customer_Feedback
RET50000,SN2300007,CUST10221,PRD1067,Indulekha Bringha Hair Oil 100ml,Beauty,2023-01-05,Fake/counterfeit suspected,Drop at Store,1527.45,Debit Card,Processed,2,Very Dissatisfied
RET50001,SN2300011,CUST10797,PRD1071,SUGAR Matte Attack Transferproof Lipstick,Beauty,2023-01-05,Changed mind,Pickup from Home,629.3,UPI,Processed,7,Satisfied
RET50002,SN2300044,CUST10543,PRD1018,boAt Airdopes 141 TWS,Electronics,2023-01-18,Screen damage in transit,Pickup from Home,2208.3,Wallet,Pending,3,Neutral
RET50003,SN2300082,CUST10021,PRD1058,Ivyspace Artificial Plant Set of 3,Home & Kitchen,2023-01-14,Damaged packaging,Drop at Store,949.05,Debit Card,Processed,2,Neutral
RET50004,SN2300105,CUST10481,PRD1055,Spaces 300TC Cotton King Bedsheet,Home & Kitchen,2023-01-20,Damaged packaging,Drop at Store,2249.1,Cash on Delivery,Processed,7,Dissatisfied
RET50005,SN2300121,CUST10424,PRD1055,Spaces 300TC Cotton King Bedsheet,Home & Kitchen,2023-01-25,Changed mind,Drop at Store,2499,UPI,Processed,7,Very Dissatisfied
RET50006,SN2300132,CUST10396,PRD1083,Ikigai – Francesc Miralles,Books,2023-01-19,Changed mind,Pickup from Home,1077.3,UPI,Processed,3,Neutral
RET50007,SN2300139,CUST10481,PRD1027,Allen Solly Formal Shirt,Fashion,2023-01-16,Wrong colour delivered,Pickup from Home,3238.2,Cash on Delivery,Pending,1,Neutral
RET50008,SN2300167,CUST10577,PRD1046,Lavie Women Tote Handbag,Fashion,2023-01-22,Changed mind,Courier Self-Send,1619.1,UPI,Pending,4,Dissatisfied
RET50009,SN2300168,CUST10488,PRD1073,Wild Stone Gold EDT 50ml,Beauty,2023-01-25,Wrong variant,Drop at Store,2845.25,UPI,Processed,6,Dissatisfied
RET50010,SN2300182,CUST10069,PRD1080,Wildcraft Camping Tent 2-Person,Sports,2023-01-22,Wrong item,Drop at Store,17547.3,UPI,Processed,2,Neutral
RET50011,SN2300215,CUST10084,PRD1038,Puma Softride Enzo NXT Sneaker,Fashion,2023-02-01,Wrong colour delivered,Pickup from Home,4499,Credit Card,Pending,6,Neutral
RET50012,SN2300223,CUST10230,PRD1074,Cosco Treadmill CTM-101,Sports,2023-01-31,Wrong item,Courier Self-Send,23999.2,UPI,Processed,7,Neutral
RET50013,SN2300252,CUST10772,PRD1078,Adidas Aeroready Training Tights,Sports,2023-02-04,Size issue,Courier Self-Send,8397,Cash on Delivery,Processed,6,Neutral
RET50014,SN2300310,CUST10074,PRD1067,Indulekha Bringha Hair Oil 100ml,Beauty,2023-02-07,Wrong variant,Pickup from Home,599,UPI,Processed,7,Neutral
RET50015,SN2300326,CUST10017,PRD1050,Havells Fresco 800W OTG 19L,Home & Kitchen,2023-02-10,Product defective,Courier Self-Send,8498.3,UPI,Pending,3,Satisfied
RET50016,SN2300330,CUST10038,PRD1073,Wild Stone Gold EDT 50ml,Beauty,2023-02-11,Wrong variant,Courier Self-Send,569.05,Credit Card,Processed,1,Neutral
RET50017,SN2300334,CUST10331,PRD1020,Noise ColorFit Pro 4,Electronics,2023-02-09,Wrong model delivered,Pickup from Home,2699.1,Debit Card,Processed,3,Neutral
RET50018,SN2300335,CUST10492,PRD1026,Levi's 511 Slim Fit Jeans,Fashion,2023-02-06,Wrong colour delivered,Pickup from Home,10197.45,Credit Card,Processed,3,Dissatisfied
RET50019,SN2300353,CUST10259,PRD1018,boAt Airdopes 141 TWS,Electronics,2023-02-15,Not as described,Courier Self-Send,1234.05,UPI,Processed,2,Dissatisfied
RET50020,SN2300357,CUST10246,PRD1078,Adidas Aeroready Training Tights,Sports,2023-02-11,Defective product,Courier Self-Send,2659.05,Credit Card,Processed,3,Neutral
RET50021,SN2300361,CUST10441,PRD1087,Amar Chitra Katha Mahabharata Box Set,Books,2023-02-14,Damaged spine,Drop at Store,2338.2,UPI,Processed,2,Very Dissatisfied
RET50022,SN2300362,CUST10386,PRD1035,Zara Flowy Midi Dress,Fashion,2023-02-06,Size/fit issue,Pickup from Home,7998,Cash on Delivery,Processed,7,Dissatisfied
RET50023,SN2300366,CUST10255,PRD1018,boAt Airdopes 141 TWS,Electronics,2023-02-15,Wrong model delivered,Courier Self-Send,2078.4,Net Banking,Processed,3,Neutral
