Product_ID,Product_Name,Category,Sub_Category,Brand,Cost_Price_INR,Selling_Price_INR,Gross_Margin_Pct,Avg_Rating,Total_Reviews,Stock_Units,HSN_Code,GST_Pct
PRD1001,Samsung Galaxy A54 5G,Electronics,Smartphones,Samsung,18999,28999,34.5,4.2,11981,296,5976,12
PRD1002,Apple iPhone 14 128GB,Electronics,Smartphones,Apple,59999,79999,25,4.8,6768,135,9735,12
PRD1003,OnePlus Nord CE 3 Lite,Electronics,Smartphones,OnePlus,16999,19999,15,4.5,12096,255,6802,28
PRD1004,Redmi Note 13 Pro 5G,Electronics,Smartphones,Redmi,21999,26999,18.5,4.3,10136,111,6071,18
PRD1005,Vivo V29 Pro 5G,Electronics,Smartphones,Vivo,29999,36999,18.9,4.3,12032,105,8676,12
PRD1006,Realme 12 Pro+ 5G,Electronics,Smartphones,Realme,22999,27999,17.9,4.3,14262,210,1958,18
PRD1007,HP Pavilion 15 Core i5 8GB,Electronics,Laptops,HP,47999,58999,18.6,4.4,7683,63,3276,18
PRD1008,Dell Inspiron 15 Core i7,Electronics,Laptops,Dell,59999,74999,20,4.1,5707,102,6332,28
PRD1009,Lenovo IdeaPad Slim 3 15,Electronics,Laptops,Lenovo,39999,49999,20,4.1,9351,109,7667,12
PRD1010,Asus VivoBook 16X OLED,Electronics,Laptops,Asus,54999,64999,15.4,3.8,12336,115,1318,18
PRD1011,Acer Aspire Lite AMD Ryzen 5,Electronics,Laptops,Acer,36999,44999,17.8,4.8,5280,291,7898,5
PRD1012,Samsung Galaxy Tab A8 LTE,Electronics,Tablets,Samsung,19999,24999,20,4,10744,118,4867,28
PRD1013,Apple iPad 10th Gen 64GB,Electronics,Tablets,Apple,44900,52999,15.3,4,3377,188,9082,12
PRD1014,Lenovo Tab M10 FHD Plus,Electronics,Tablets,Lenovo,13999,17999,22.2,3.9,10267,172,6496,28
PRD1015,boAt Rockerz 450 Bluetooth,Electronics,Earphones,boAt,899,1999,55,4.8,11257,67,6436,12
PRD1016,Sony WH-1000XM5 Wireless,Electronics,Earphones,Sony,22990,31999,28.2,4.4,1122,50,3846,5
PRD1017,JBL Tune 760NC Headphone,Electronics,Earphones,JBL,4999,7999,37.5,4.8,7228,120,6739,12
PRD1018,boAt Airdopes 141 TWS,Electronics,Earphones,boAt,649,1299,50,3.6,13206,145,4920,28
PRD1019,Noise Buds VS104 TWS,Electronics,Earphones,Noise,799,1299,38.5,4.4,7947,268,8143,28
PRD1020,Noise ColorFit Pro 4,Electronics,Smartwatches,Noise,1499,2999,50,3.8,1210,154,5956,18
PRD1021,boAt Wave Flex Connect,Electronics,Smartwatches,boAt,999,1999,50,3.7,10889,128,9639,5
PRD1022,Samsung Galaxy Watch 6,Electronics,Smartwatches,Samsung,22999,29999,23.3,4.2,14648,100,7366,12
PRD1023,Fitbit Charge 6,Electronics,Smartwatches,Fitbit,14995,18999,21.1,4.3,3707,163,6809,5
PRD1024,Canon EOS 1500D DSLR Kit,Electronics,Cameras,Canon,34995,44999,22.2,4.4,11158,278,7176,5
PRD1025,Sony Alpha ZV-E10L Mirrorless,Electronics,Cameras,Sony,64990,79999,18.8,3.7,963,265,3055,12
PRD1026,Levi's 511 Slim Fit Jeans,Fashion,Men's Clothing,Levi's,2199,3999,45,4.9,10125,44,9259,12
PRD1027,Allen Solly Formal Shirt,Fashion,Men's Clothing,Allen Solly,799,1799,55.6,3.9,9617,84,3654,5
PRD1028,Van Heusen Slim Fit Chinos,Fashion,Men's Clothing,Van Heusen,1299,2499,48,3.7,1758,287,1494,5
PRD1029,Peter England Casual Polo T-Shirt,Fashion,Men's Clothing,Peter England,599,1299,53.9,4.3,8967,161,1007,5
PRD1030,H&M Regular Fit Linen Shirt,Fashion,Men's Clothing,H&M,999,1799,44.5,3.9,3035,31,2700,12
PRD1031,Puma Dry-Cell Training T-Shirt,Fashion,Men's Clothing,Puma,799,1599,50,4.4,10610,97,8552,12
PRD1032,BIBA Floral Printed Kurta,Fashion,Women's Clothing,BIBA,899,1899,52.7,4.2,4518,232,8194,12
PRD1033,W Ethnic Wear Kurta Set,Fashion,Women's Clothing,W,1199,2299,47.8,4.1,14249,229,7855,12
PRD1034,Aurelia Embroidered Salwar Suit,Fashion,Women's Clothing,Aurelia,1499,2899,48.3,4.8,2677,159,7519,12
PRD1035,Zara Flowy Midi Dress,Fashion,Women's Clothing,Zara,2499,3999,37.5,4.6,5893,233,1243,5
PRD1036,H&M Ribbed Jersey Dress,Fashion,Women's Clothing,H&M,999,1799,44.5,4,97,114,9304,28
