Campaign_ID,Month,Month_Num,Quarter,Year,Channel,Budget_INR,Amount_Spent_INR,Budget_Utilisation_Pct,Impressions,Clicks,CTR_Pct,Conversions,Conversion_Rate_Pct,Revenue_Generated_INR,ROAS,CPC_INR,CAC_INR,New_Customers_Acquired,Returning_Customers
CMP0001,January,1,Q1,2023,Google Search Ads,122124,110964,90.9,731167,60467,8.27,3664,6.06,14602789.93,131.6,1.84,30.28,2140,2447
CMP0002,January,1,Q1,2023,Google Display Ads,117104,104944,89.6,155004,2914,1.88,93,3.21,268673.96,2.56,36.01,1128.43,42,34
CMP0003,January,1,Q1,2023,Instagram Ads,146307,134693,92.1,101075,3658,3.62,124,3.4,216909.17,1.61,36.82,1086.23,80,53
CMP0004,January,1,Q1,2023,Facebook Ads,122985,111236,90.4,379591,17992,4.74,870,4.84,1346569.03,12.11,6.18,127.86,604,383
CMP0005,January,1,Q1,2023,YouTube Ads,69399,61617,88.8,595135,7320,1.23,169,2.32,550184.27,8.93,8.42,364.6,110,117
CMP0006,January,1,Q1,2023,Influencer Marketing,81167,81089,99.9,741205,50920,6.87,4852,9.53,8815044.6,108.71,1.59,16.71,2765,2233
CMP0007,January,1,Q1,2023,Email Campaign,30232,27750,91.8,95452,23519,24.64,1738,7.39,6330977.9,228.14,1.18,15.97,635,1023
CMP0008,January,1,Q1,2023,SMS Campaign,131770,121204,92,783328,137004,17.49,7083,5.17,18375530.66,151.61,0.88,17.11,3831,3013
CMP0009,January,1,Q1,2023,App Push Notification,130579,116366,89.1,400350,35390,8.84,1843,5.21,2937708.72,25.25,3.29,63.14,922,1273
CMP0010,February,2,Q1,2023,Google Search Ads,96850,95402,98.5,266862,16999,6.37,1188,6.99,2600435.78,27.26,5.61,80.3,377,498
CMP0011,February,2,Q1,2023,Google Display Ads,84130,79864,94.9,105640,1964,1.86,32,1.65,55027.42,0.69,40.66,2495.75,11,18
CMP0012,February,2,Q1,2023,Instagram Ads,25412,22478,88.5,328801,19201,5.84,610,3.18,566009.01,25.18,1.17,36.85,349,268
CMP0013,February,2,Q1,2023,Facebook Ads,80214,79241,98.8,408478,18422,4.51,799,4.34,2450858.45,30.93,4.3,99.18,469,413
CMP0014,February,2,Q1,2023,YouTube Ads,46140,43197,93.6,98875,1255,1.27,49,3.98,166097.42,3.85,34.42,881.57,20,26
CMP0015,February,2,Q1,2023,Influencer Marketing,63764,59308,93,64847,3320,5.12,125,3.77,246072.24,4.15,17.86,474.46,50,44
CMP0016,February,2,Q1,2023,Email Campaign,30284,28401,93.8,44628,5757,12.9,392,6.82,876027.83,30.84,4.93,72.45,211,187
CMP0017,February,2,Q1,2023,SMS Campaign,95394,88136,92.4,563587,55569,9.86,1216,2.19,1136199.29,12.89,1.59,72.48,412,552
CMP0018,February,2,Q1,2023,App Push Notification,48359,45697,94.5,582724,60778,10.43,2242,3.69,3506266.89,76.73,0.75,20.38,1006,1521
CMP0019,March,3,Q1,2023,Google Search Ads,133103,118666,89.2,587653,39255,6.68,4612,11.75,10128397.4,85.35,3.02,25.73,3127,2618
CMP0020,March,3,Q1,2023,Google Display Ads,25880,25805,99.7,360746,5411,1.5,196,3.64,542450.01,21.02,4.77,131.66,132,116
CMP0021,March,3,Q1,2023,Instagram Ads,32097,30024,93.5,500995,12073,2.41,760,6.3,1230144.96,40.97,2.49,39.51,265,433
